latitude,longitude,elevation,year,month,day,hour,minute,second,horizon,
46.55985704639976,26.32514113971901,413.59974334564293,2019, 5, 13, 21, 59, 59.999986588954926,0,
48.13848389597785,31.302296789870354,414.0180476471418,2019, 5, 13, 22, 0, 59.99998301267624,0,
49.4651162609144,36.58199176410188,414.3809307672005,2019, 5, 13, 22, 1, 59.99997943639755,0,
50.51386258020177,42.13473038550195,414.68103148863656,2019, 5, 13, 22, 3, 1.609325408935547e-05,0,
51.26179072741359,47.91117023872726,414.9125014753632,2019, 5, 13, 22, 4, 1.2516975402832031e-05,0,
51.69104441579565,53.84292393206617,415.07111210783364,2019, 5, 13, 22, 5, 8.940696716308594e-06,0,
51.79076099472939,59.84680757320843,415.15432861221143,2019, 5, 13, 22, 6, 5.364418029785156e-06,0,
51.55836219085665,65.83231663907412,415.16135346017353,2019, 5, 13, 22, 7, 1.7881393432617188e-06,0,
50.9998743896681,71.71083710301221,415.0931370861544,2019, 5, 13, 22, 7, 59.99999821186066,0,
50.129190087625965,77.40439840086287,414.9523560026744,2019, 5, 13, 22, 8, 59.99999463558197,0,
48.96647300846248,82.85196646732538,414.7433586835077,2019, 5, 13, 22, 9, 59.999991059303284,0,
47.53610721920998,88.0122720606235,414.472080094403,2019, 5, 13, 22, 10, 59.9999874830246,0,
45.864622274914794,92.86335648043827,414.145926255921,2019, 5, 13, 22, 11, 59.99998390674591,0,
43.97891837259395,97.39983116853165,413.77363071970626,2019, 5, 13, 22, 12, 59.999980330467224,0,
41.90494993298895,101.62906410033484,413.36508503948016,2019, 5, 13, 22, 14, 1.6987323760986328e-05,0,
39.66689237174159,105.5672645160324,412.93114775630005,2019, 5, 13, 22, 15, 1.341104507446289e-05,0,
37.28669923256804,109.23610517015359,412.48343098593926,2019, 5, 13, 22, 16, 9.834766387939453e-06,0,
34.783972611880074,112.66006796709442,412.0340737940908,2019, 5, 13, 22, 17, 6.258487701416016e-06,0,
32.17602406699025,115.86456299390868,411.59550231731464,2019, 5, 13, 22, 18, 2.682209014892578e-06,0,
29.478051590620655,118.87469212263487,411.1801825753415,2019, 5, 13, 22, 18, 59.99999910593033,0,
26.70337226066566,121.7145117004183,410.800370289055,2019, 5, 13, 22, 19, 59.99999552965164,0,
23.863672186313554,124.4066532954539,410.4678624406683,2019, 5, 13, 22, 20, 59.999991953372955,0,
20.969251080829594,126.97218704582569,410.193755382678,2019, 5, 13, 22, 21, 59.99998837709427,0,
18.029249640701988,129.4306411174152,409.98821427367744,2019, 5, 13, 22, 22, 59.99998480081558,0,
15.051854881572023,131.8001163765688,409.86025848666657,2019, 5, 13, 22, 23, 59.999981224536896,0,
12.044480755823061,134.09745703098608,409.81756739492573,2019, 5, 13, 22, 25, 1.7881393432617188e-05,0,
9.013937902621045,136.33844224872144,409.86631064461,2019, 5, 13, 22, 26, 1.430511474609375e-05,0,
5.966565158210073,138.53800503575494,410.01100622311304,2019, 5, 13, 22, 27, 1.0728836059570312e-05,0,
2.9083666614688366,140.71044141038914,410.25440996438334,2019, 5, 13, 22, 28, 7.152557373046875e-06,0,
-0.15487199144414196,142.86962551834088,410.5974383176658,2019, 5, 13, 22, 29, 3.5762786865234375e-06,0,
-3.217472788715601,145.02922254077666,411.03912638881775,2019, 5, 13, 22, 30, 0.0,0,
