lat,lon,dist,
-1.7552977370816611,-171.3015124405236,409022.52236091736,
-1.752126583909808,-171.5444626508954,409020.460244099,
-1.7489553655438743,-171.78741297461812,409018.39756499906,
-1.7457840820274717,-172.03036324352524,409016.3343236648,
-1.7426127334101276,-172.27331345753078,409014.27052014816,
-1.7394413083204419,-172.5162636279765,409012.2073237191,
-1.736269829644977,-172.7592137319993,409010.14239594765,
-1.7330982860042659,-173.00216378093023,409008.07690611115,
-1.7299266753196436,-173.2451139375848,409006.0108528846,
-1.7267550018922446,-173.48806387607402,409003.94423907937,
-1.7235832636399067,-173.7310137592362,409001.87706335844,
-1.7204114492397484,-173.9739635985241,408999.8104949232,
-1.717239581483689,-174.21691337084377,408997.7421954791,
-1.7140676490407125,-174.45986308762207,408995.6733342503,
-1.7108956519556309,-174.70281274877783,408993.6039112822,
-1.7077235902803642,-174.9457623542525,408991.53392662364,
-1.7045514640597568,-175.18871190396453,408989.4633803123,
-1.701379262017043,-175.43166124139782,408987.39344148687,
-1.6982070068447404,-175.67461067940627,408985.32177199057,
-1.6950346851355629,-175.9175602243373,408983.24953959545,
-1.6918623011933556,-176.16050955031807,408981.1767471188,
-1.6886898529346048,-176.40345882016652,408979.10339322296,
-1.6855173291337244,-176.6464080455836,408977.0306469727,
-1.6823447523916262,-176.88935720300458,408974.9561703428,
-1.6791721114686682,-177.13230630409095,408972.88113241794,
-1.6759994064190682,-177.3752553487546,408970.8055332663,
